Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous Days Close,Change in Price,% Change in Price,Previous Days Volume,Change in Volume,% Change in Volume
1980-12-12,0.5133928656578064,0.515625,0.5133928656578064,0.5133928656578064,0.4067815542221069,117258400,,,,,,,,
1980-12-15,0.4888392984867096,0.4888392984867096,0.4866071343421936,0.4866071343421936,0.385558158159256,43971200,,,0.5133928656578064,-0.0267857313156127,-0.0521739453494205,117258400.0,-73287200.0,-0.6250059697215722
1980-12-16,0.453125,0.453125,0.4508928656578064,0.4508928656578064,0.3572602868080139,26432000,,,0.4866071343421936,-0.0357142686843872,-0.0733944616999225,43971200.0,-17539200.0,-0.3988792664289353
1980-12-17,0.4620535671710968,0.4642857015132904,0.4620535671710968,0.4620535671710968,0.3661033511161804,21610400,,,0.4508928656578064,0.0111607015132904,0.0247524464531238,26432000.0,-4821600.0,-0.1824152542372881
1980-12-18,0.4754464328289032,0.4776785671710968,0.4754464328289032,0.4754464328289032,0.3767151534557342,18362400,,,0.4620535671710968,0.0133928656578063,0.0289855259419457,21610400.0,-3248000.0,-0.1502980046644208
1980-12-19,0.5044642686843872,0.5066964030265808,0.5044642686843872,0.5044642686843872,0.3997070789337158,12157600,,,0.4754464328289032,0.029017835855484,0.0610328185297933,18362400.0,-6204800.0,-0.3379078987496188
1980-12-22,0.5290178656578064,0.53125,0.5290178656578064,0.5290178656578064,0.4191618859767914,9340800,,,0.5044642686843872,0.0245535969734191,0.0486726186523646,12157600.0,-2816800.0,-0.2316904652233993
1980-12-23,0.5513392686843872,0.5535714030265808,0.5513392686843872,0.5513392686843872,0.4368479549884796,11737600,,,0.5290178656578064,0.0223214030265808,0.0421940438605514,9340800.0,2396800.0,0.2565947242206235
1980-12-24,0.5803571343421936,0.5825892686843872,0.5803571343421936,0.5803571343421936,0.4598398804664612,12000800,,,0.5513392686843872,0.0290178656578063,0.0526315960171841,11737600.0,263200.0,0.0224236641221374
1980-12-26,0.6339285969734192,0.6361607313156128,0.6339285969734192,0.6339285969734192,0.5022867918014526,13893600,,,0.5803571343421936,0.0535714626312255,0.0923077523496738,12000800.0,1892800.0,0.1577228184787681
1980-12-29,0.6428571343421936,0.6450892686843872,0.6428571343421936,0.6428571343421936,0.509361207485199,23290400,,,0.6339285969734192,0.0089285373687744,0.0140844527465745,13893600.0,9396800.0,0.6763401854091092
1980-12-30,0.6294642686843872,0.6294642686843872,0.6272321343421936,0.6272321343421936,0.4969809353351593,17220000,,,0.6428571343421936,-0.015625,-0.0243055558774942,23290400.0,-6070400.0,-0.2606395768213513
1980-12-31,0.6116071343421936,0.6116071343421936,0.609375,0.609375,0.4828320145606994,8937600,,,0.6272321343421936,-0.0178571343421936,-0.0284697377007336,17220000.0,-8282400.0,-0.4809756097560975
1981-01-02,0.6160714030265808,0.6205357313156128,0.6160714030265808,0.6160714030265808,0.4881376624107361,5415200,,,0.609375,0.0066964030265808,0.0109889690692608,8937600.0,-3522400.0,-0.3941102756892231
1981-01-05,0.6049107313156128,0.6049107313156128,0.6026785969734192,0.6026785969734192,0.4775262176990509,8932000,,,0.6160714030265808,-0.0133928060531616,-0.0217390484079712,5415200.0,3516800.0,0.6494312306101344
1981-01-06,0.578125,0.578125,0.5758928656578064,0.5758928656578064,0.4563027024269104,11289600,,,0.6026785969734192,-0.0267857313156127,-0.0444444708176589,8932000.0,2357600.0,0.2639498432601881
1981-01-07,0.5535714030265808,0.5535714030265808,0.5513392686843872,0.5513392686843872,0.4368479549884796,13921600,,,0.5758928656578064,-0.0245535969734191,-0.0426357026412771,11289600.0,2632000.0,0.2331349206349206
1981-01-08,0.5424107313156128,0.5424107313156128,0.5401785969734192,0.5401785969734192,0.4280048310756683,9956800,,,0.5513392686843872,-0.011160671710968,-0.0202428383844302,13921600.0,-3964800.0,-0.2847948511665326
1981-01-09,0.5691964030265808,0.5714285969734192,0.5691964030265808,0.5691964030265808,0.450996845960617,5376000,,,0.5401785969734192,0.0290178060531616,0.053718911144844,9956800.0,-4580800.0,-0.4600674915635545
1981-01-12,0.5691964030265808,0.5691964030265808,0.5647321343421936,0.5647321343421936,0.4474597573280334,5924800,,,0.5691964030265808,-0.0044642686843872,-0.0078431076876969,5376000.0,548800.0,0.1020833333333333
1981-01-13,0.546875,0.546875,0.5446428656578064,0.5446428656578064,0.4315420687198639,5762400,,,0.5647321343421936,-0.0200892686843872,-0.0355730929103005,5924800.0,-162400.0,-0.0274102079395085
1981-01-14,0.546875,0.5491071343421936,0.546875,0.546875,0.4333106577396393,3572800,,,0.5446428656578064,0.0022321343421936,0.0040983449576589,5762400.0,-2189600.0,-0.379980563654033
1981-01-15,0.5580357313156128,0.5625,0.5580357313156128,0.5580357313156128,0.4421537220478058,3516800,,,0.546875,0.0111607313156127,0.0204081944056919,3572800.0,-56000.0,-0.0156739811912225
1981-01-16,0.5558035969734192,0.5558035969734192,0.5535714030265808,0.5535714030265808,0.4386165738105774,3348800,,,0.5580357313156128,-0.0044643282890319,-0.0080000760498023,3516800.0,-168000.0,-0.0477707006369426
